NAMEASCII,LATITUDE,LONGITUDE,POP_MAX,POP_MIN,POP Avg,D1 Desc,D1 Preci,D2 Desc,D2 Preci,D3 Desc,D3 Preci,D4 Desc,D4 Preci,D5 Desc,D5 Preci,D6 Desc,D6 Preci,D7 Desc,D7 Preci
Bangkok,13.752,100.515,6704000,5104476,5904238,Clear with periodic clouds,2%,Partly cloudy,10%,Mostly sunny,10%,Sunny,0%,Sunny,0%,Sunny,0%,Sunny,0%
Hong Kong,22.307,114.183,7206000,4551579,5878790,Light rain showers,30%,Thunderstorm,70%,Thunderstorm,80%,Thunderstorm,100%,Thunderstorm,70%,Thunderstorm,90%,Thunderstorm,60%
Chennai,13.092,80.278,7163000,4328063,5745532,Clear,2%,Clear with periodic clouds,10%,Mostly sunny,10%,Sunny,10%,Mostly sunny,10%,Partly cloudy,10%,Partly cloudy,10%
Wuhan,30.582,114.268,7243000,4184206,5713603,Clear with periodic clouds,2%,Partly cloudy,20%,Cloudy,20%,Partly cloudy,10%,Mostly sunny,20%,Thunderstorm,80%,Scattered showers,60%
Tianjin,39.132,117.198,7180000,3766207,5473104,Partly cloudy,0%,Mostly sunny,0%,Mostly sunny,20%,Mostly cloudy,10%,Partly cloudy,0%,Partly cloudy,10%,Partly cloudy,0%
Chongqing,29.567,106.593,6461000,3967028,5214014,Light rain showers,85%,Cloudy,25%,Mostly sunny,25%,Partly cloudy,25%,Mostly sunny,25%,Light rain showers,80%,Light rain showers,80%
Baghdad,33.341,44.392,5054000,5054000,5054000,Mostly sunny,0%,Sunny,0%,Sunny,0%,Partly cloudy,0%,Partly cloudy,0%,Partly cloudy,10%,Cloudy,10%
Hyderabad,17.402,78.478,6376000,3597816,4986908,Clear with periodic clouds,0%,Partly cloudy,0%,Mostly sunny,0%,Mostly sunny,10%,Mostly sunny,10%,Partly cloudy,10%,Mostly sunny,0%
Paris,48.869,2.331,9904000,11177,4957589,Mostly cloudy,1%,Partly cloudy,10%,Scattered showers,40%,Rain,90%,Partly cloudy,20%,Scattered showers,40%,Scattered showers,40%
Taipei,25.036,121.568,6900273,2618772,4759522.5,Mostly cloudy,30%,Thunderstorm,80%,Rain,80%,Thunderstorm,80%,Thunderstorm,80%,Isolated thunderstorms,30%,Scattered thunderstorms,50%
